"OBJECTID","YEAR_","STATE","AGENCY","UNIT_ID","FIRE_NAME","INC_NUM","ALARM_DATE","CONT_DATE","CAUSE","C_METHOD","OBJECTIVE","GIS_ACRES","COMMENTS","COMPLEX_NAME","IRWINID","FIRE_NUM","COMPLEX_ID","DECADES","Shape__Area","Shape__Length","Lon","Lat","TEMPERATURE_2M_ALARM_DATE"
6211,2007,"CA","BLM Bureau of Land Management","BBD","WALKER","00000622",NA,2007-04-06 07:00:00,"Lightning","GPS Ground","Suppression (Wildfire)",794.124,NA,NA,NA,"00000622",NA,"2000-2009",4875786.21484375,13685.1281803287,-117.995207197218,35.63555286033,NA
6343,2007,"CA","BLM Bureau of Land Management","BBD","BAILEY","00002293",NA,2007-07-22 07:00:00,"Unknown/Unidentified","GPS Ground","Suppression (Wildfire)",53.44631,NA,NA,NA,"00002293",NA,"2000-2009",328856.671875,4691.20456093268,-118.093485763844,35.7220028252324,NA
6373,2007,"CA","BLM Bureau of Land Management","CDD","FREMONT ","00HUDH9X",NA,2007-06-18 07:00:00,"Miscellaneous","GPS Ground","Suppression (Wildfire)",31.79749,NA,NA,NA,"00HUDH9X",NA,"2000-2009",193213.09765625,2194.0410389649,-117.44476186521,35.2133131110932,NA
6261,2007,"CA","CDF CAL FIRE (State)","BDU","RED STAR","00000287",2007-01-07 08:00:00,2007-01-07 08:00:00,"Unknown/Unidentified","GPS Ground","Suppression (Wildfire)",208.7144,"CAL FIRE Wildland Contract area.",NA,NA,"00000000",NA,"2000-2009",1230094.66015625,9567.92985775166,-117.632356451386,33.9327523164834,6.48916015625002
6432,2007,"CA","CCO Contract County","ORC","","00000000",2007-01-07 08:00:00,2007-01-07 08:00:00,"Playing with Fire","Unknown","Suppression (Wildfire)",14.80336,NA,NA,NA,"00000000",NA,"2000-2009",86536.70703125,2006.33419583154,-117.63507001271,33.5795027600315,8.67568359375002
6368,2007,"CA","NPS National Park Service","SMP","MALIBU","00000015",2007-01-08 08:00:00,2007-01-08 08:00:00,"Smoking","Photo Interpretation","Suppression (Wildfire)",37.15744,"NPS by oblique air photos, cause car cigarette, presumed accuracy 15m",NA,NA,"00000015",NA,"2000-2009",219501.01171875,2680.72105064815,-118.705441237664,34.0319948036989,15.060693359375
6430,2007,"CA","CDF CAL FIRE (State)","SLU","RYAN","00000371",2007-01-15 08:00:00,2007-01-15 08:00:00,"Debris","GPS Ground","Suppression (Wildfire)",15.01484,NA,NA,NA,"00000000",NA,"2000-2009",91856.69921875,1884.51897493087,-120.492513341652,35.4897443884039,-2.53208007812498
6242,2007,"CA","CDF CAL FIRE (State)","SLU","DIABLO","00000338",2007-01-16 08:00:00,2007-01-16 08:00:00,"Structure Fire","GPS Ground","Suppression (Wildfire)",332.3627,NA,NA,NA,"00000000",NA,"2000-2009",2020600.3828125,7845.34138038872,-120.86495322256,35.2344706520286,7.54287109375002
6491,2007,"CA","NPS National Park Service","SMP","ROCKY OAKS","00000043",2007-01-16 08:00:00,2007-01-16 08:00:00,"Miscellaneous","Mixed Methods","Suppression (Wildfire)",0.3089746,"mapped by NPS, presumed accuracy 30m, cause unknown presumed human",NA,NA,"00000043",NA,"2000-2009",1828.20703125,151.765311354328,-118.812234542242,34.102227044221,8.19252929687502
6340,2007,"CA","NPS National Park Service","SMP","FOOTHILL","00000061",2007-01-22 08:00:00,2007-01-22 08:00:00,"Unknown/Unidentified","GPS Ground","Suppression (Wildfire)",55.62037,"City of Thousand Oaks by ground GPS, presumed accuracy 5m",NA,NA,"00000061",NA,"2000-2009",329554.57421875,3913.03092693953,-118.844260923323,34.1601184778935,9.00161132812502
6333,2007,"CA","BLM Bureau of Land Management","NOD","SCHOTT","00000285",2007-01-24 08:00:00,2007-01-24 08:00:00,"Unknown/Unidentified","Unknown","Suppression (Wildfire)",60.56634,NA,NA,NA,"00000285",NA,"2000-2009",431841.0234375,3772.33957246761,-121.081081822141,41.0857928046057,-3.32602539062498
6476,2007,"CA","CDF CAL FIRE (State)","SKU","BRAZIE","SKU00336",2007-01-25 08:00:00,2007-01-25 08:00:00,"Debris","GPS Ground","Suppression (Wildfire)",5.748158,"ESCAPE CONTROL BURN",NA,NA,"00000000",NA,"2000-2009",41725.97265625,921.79893816371,-122.624911571412,41.6731478444749,0.289208984375023
6271,2007,"CA","BLM Bureau of Land Management","NOD","BULL","00000599",2007-02-17 08:00:00,2007-02-18 08:00:00,"Lightning","GPS Ground","Suppression (Wildfire)",168.8155,NA,NA,NA,"00000599",NA,"2000-2009",1183526.875,5251.18720716009,-120.04396507869,40.5216143985509,5.59169921875002
